Year,Month,CPIU
2015,8,0.20
2015,9,-0.04
2015,10,0.17
2015,11,0.50
2015,12,0.73
2016,1,1.37
2016,2,1.02
2016,3,0.85
2016,4,1.13
2016,5,1.02
2016,6,1.00
2016,7,0.83
2016,8,1.06
2016,9,1.46
2016,10,1.64
2016,11,1.69
2016,12,2.07
2017,1,2.50
2017,2,2.74
2017,3,2.38
2017,4,2.20
2017,5,1.87
2017,6,1.63
2017,7,1.73
2017,8,1.94
2017,9,2.23
2017,10,2.04
2017,11,2.20
2017,12,2.11
2018,1,2.07
2018,2,2.21
2018,3,2.36
2018,4,2.46
2018,5,2.80
2018,6,2.87
2018,7,2.95
2018,8,2.70
2018,9,2.28
2018,10,2.52
2018,11,2.18
2018,12,1.91
2019,1,1.55
2019,2,1.52
2019,3,1.86
2019,4,2.00
2019,5,1.79
2019,6,1.65
2019,7,1.81
2019,8,1.75
2019,9,1.71
2019,10,1.76
2019,11,2.05
2019,12,2.29
2020,1,2.49
2020,2,2.33
2020,3,1.54
2020,4,0.33
2020,5,0.12
2020,6,0.65
2020,7,0.99
2020,8,1.31
2020,9,1.37
2020,10,1.18
2020,11,1.17
2020,12,1.36
2021,1,1.40
2021,2,1.68
2021,3,2.62
2021,4,4.16
2021,5,4.99
2021,6,5.39
2021,7,5.37
2021,8,5.25
2021,9,5.39
2021,10,6.22
2021,11,6.81
2021,12,7.04
2022,1,7.48
2022,2,7.87
2022,3,8.54
2022,4,8.26
2022,5,8.58
2022,6,9.10
